,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_poly__interaction_only,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
65,0.0017253398895263673,0.0011365973523024477,0.0019471168518066407,0.0007529474856878547,4,True,2.5,"{'poly__degree': 4, 'poly__interaction_only': True, 'ridge__alpha': 2.5}",-1194.5422117702801,-717.8116767681795,-2015.4399484213507,-788.4871373593109,-761.3655076272712,-1095.5292963892784,490.8462265207119,71
66,0.0011817455291748048,0.0009978772086967707,0.0020759105682373047,0.0007583700524761745,4,True,5,"{'poly__degree': 4, 'poly__interaction_only': True, 'ridge__alpha': 5}",-1181.8642914682619,-721.3540369111781,-1724.8745449375426,-788.4603480582033,-762.7902576517976,-1035.8686958053966,382.29464256513353,68
67,0.0007279396057128906,0.001007354057406633,0.002404594421386719,0.0014956049316245835,4,True,10.0,"{'poly__degree': 4, 'poly__interaction_only': True, 'ridge__alpha': 10.0}",-1162.490605458173,-728.3164404404514,-1378.9515041478012,-785.380034751744,-766.1102383702822,-964.2497646336903,260.0750466029479,65
68,0.0013926506042480468,0.0010478175823437214,0.0020027637481689455,0.0008396200541041915,4,True,20,"{'poly__degree': 4, 'poly__interaction_only': True, 'ridge__alpha': 20}",-1136.2071011052255,-739.5017820392266,-1060.8792916703242,-772.5836055760954,-764.9751824368582,-894.829392565546,168.3856182036964,52
69,0.0009877204895019532,0.0012098977661364125,0.0023345947265625,0.0011136199182202658,4,True,25,"{'poly__degree': 4, 'poly__interaction_only': True, 'ridge__alpha': 25}",-1126.634824578041,-744.0921050993196,-977.4252887153212,-765.6159921885582,-762.047798920017,-875.1632019002515,152.0991974834655,51
70,0.0013971805572509765,0.0011801602372636636,0.002668428421020508,0.0009646437560550308,4,False,0.001,"{'poly__degree': 4, 'poly__interaction_only': False, 'ridge__alpha': 0.001}",-1323.2139805228571,-668.761720856353,-1493.874759644541,-1060.836319184804,-957.9642248849149,-1100.930201018694,287.2740467645969,75
71,0.0006058692932128906,0.0012117385864257812,0.0030495643615722655,0.0010451650448840349,4,False,0.01,"{'poly__degree': 4, 'poly__interaction_only': False, 'ridge__alpha': 0.01}",-1323.1012091808193,-668.7516325518313,-1493.6710449592683,-1060.5642800840942,-957.8401940663493,-1100.7856721684725,287.2238484626839,74
72,0.0013350486755371095,0.0011637553751386689,0.0027003765106201174,0.001283168902586752,4,False,0.1,"{'poly__degree': 4, 'poly__interaction_only': False, 'ridge__alpha': 0.1}",-1321.978003996272,-668.6517129001129,-1491.639024481079,-1057.8552692153296,-956.6064147425944,-1099.3460850670776,286.72372247194846,73
73,0.0010796070098876953,0.0010870169872036184,0.003166341781616211,0.0014826450251113855,4,False,0.25,"{'poly__degree': 4, 'poly__interaction_only': False, 'ridge__alpha': 0.25}",-1320.123991391248,-668.4890073474932,-1488.2729084457442,-1053.3857263969887,-954.5761589344368,-1096.969558503182,285.8976131325177,72
74,0.0018853187561035157,0.0013416284266810278,0.0020324230194091798,0.0013412201903570374,4,False,1.0,"{'poly__degree': 4, 'poly__interaction_only': False, 'ridge__alpha': 1.0}",-1311.1758437920969,-667.7426463982514,-1471.81899367183,-1031.8547850440928,-944.8893613056919,-1085.4963260423924,281.90151420857023,70
75,0.0017423152923583985,0.0013726470964177963,0.002622509002685547,0.0017670609354090532,4,False,2.5,"{'poly__degree': 4, 'poly__interaction_only': False, 'ridge__alpha': 2.5}",-1294.7229446044416,-666.5373719348725,-1440.6883959224297,-992.4888637776126,-927.5824175060006,-1064.4039987490712,274.52742990104764,69
76,0.002695798873901367,0.003588582915050891,0.0010687351226806641,0.0016017498269656168,4,False,5,"{'poly__degree': 4, 'poly__interaction_only': False, 'ridge__alpha': 5}",-1270.8019126720242,-665.1622314169305,-1393.515542930617,-935.9875125764605,-903.6641121946442,-1033.8262623581352,263.8035676044894,67
77,0.0019406318664550782,0.002382137189026349,2.0933151245117187e-05,4.1866302490234374e-05,4,False,10.0,"{'poly__degree': 4, 'poly__interaction_only': False, 'ridge__alpha': 10.0}",-1232.4008061881752,-663.8321880462779,-1313.6652725238325,-848.1178506273386,-868.6316604829376,-985.3295555737125,246.84187405111095,66
78,0.0032085418701171876,0.004081149142927975,0.0008214473724365235,0.001642894744873047,4,False,20,"{'poly__degree': 4, 'poly__interaction_only': False, 'ridge__alpha': 20}",-1178.2733031821858,-663.5636234137185,-1195.054266552472,-734.0725029537581,-826.9793869151569,-919.5886166034583,224.2055246228881,56
79,0.0014449596405029298,0.0020150489589072134,0.0025835037231445312,0.003362302604747219,4,False,25,"{'poly__degree': 4, 'poly__interaction_only': False, 'ridge__alpha': 25}",-1158.1120832564495,-663.888279405725,-1149.9670130324134,-695.8813651418773,-813.9178491463513,-896.3533179965634,216.26935153788347,53
